project_length_Days,project_length_Hours,project_length_Weeks,project_length_Months,issue_len_description,time_limit,have_changed,bounty_type_Bug,bounty_type_Code_Review,bounty_type_Design,bounty_type_Documentation,bounty_type_Feature,bounty_type_Improvement,bounty_type_Other,bounty_type_Project,bounty_type_Security,experience_level_Advanced,experience_level_Intermediate,experience_level_Beginner,bounty_num,bounty_change_num,bounty_amount,title_len,never_expires,owner_follwers,owner_following,owner_grants_contributed,issue_index,until_time,until_fulfilment
False,True,False,False,2296,-58,1,True,False,False,False,False,False,False,False,False,True,False,False,73,0,1000.0,46,0,117391,117281,495,317,-58,0
True,False,False,False,1054,-71,1,False,False,False,False,False,True,False,False,False,False,True,False,15,0,600.0,33,0,7,6,0,8747,-71,0
False,True,False,False,3,-71,1,False,False,False,False,True,False,False,False,False,True,False,False,16,0,500.0,23,0,7,6,0,9834,-71,0
False,True,False,False,3,-71,1,False,False,False,False,True,False,False,False,False,True,False,False,17,0,500.0,8,0,7,6,0,8888,-71,0
True,False,False,False,3,-71,1,False,False,False,False,False,False,False,False,True,False,True,False,18,0,156.77,47,0,7,6,0,8889,-55,1
False,False,True,False,1690,-71,1,False,False,False,False,True,False,False,False,False,True,False,False,19,0,12634.35,50,0,7,6,0,8885,-55,2
False,True,False,False,959,-71,1,False,False,False,False,True,False,False,False,False,True,False,False,20,0,400.0,35,0,7,6,0,8877,-55,2
True,False,False,False,1069,-58,1,True,False,False,False,False,False,False,False,False,True,False,False,14,0,350.0,64,0,117391,117281,495,210,-58,0
True,False,False,False,1069,-58,1,True,False,False,False,False,False,False,False,False,True,False,False,5,0,350.0,63,0,117391,117281,495,58,-58,0
True,False,False,False,1651,-58,1,False,False,False,False,False,False,True,False,False,False,True,False,6,0,1000.0,101,0,117391,117281,495,59,-58,0
False,False,True,False,3247,-58,1,False,False,False,False,False,False,False,True,False,False,True,False,7,0,3000.0,12,0,117391,117281,495,29,-58,0
False,False,True,False,2105,-58,1,False,False,False,False,False,False,False,True,False,True,False,False,8,0,2000.0,50,0,117391,117281,495,43,-55,1
